State,Year,Quarter,RegisteredUsers,AppOpens
India,2018,1,46877867,0
India,2018,2,63648311,0
India,2018,3,80010952,0
India,2018,4,102262055,0
India,2019,1,123432699,0
India,2019,2,141808226,920413791
India,2019,3,159293934,3448366103
India,2019,4,178279085,4301071954
India,2020,1,197575164,4768944662
India,2020,2,218996326,4357634272
India,2020,3,241169683,5739326491
India,2020,4,264271293,7461623162
India,2021,1,284985430,8635508502
India,2021,2,305258086,9630620549
India,2021,3,328354923,12256377890
India,2021,4,351161395,15172529039
India,2022,1,372951831,15724195113
India,2022,2,393424643,17786667567
India,2022,3,414324881,19223454074
India,2022,4,433947940,21262699669
India,2023,1,453886185,22927510601
India,2023,2,472369901,24931188217
India,2023,3,491434385,27225177134
India,2023,4,509358280,29936587770
India,2024,1,530084540,32626239822
India,2024,2,550287982,35407900260
India,2024,3,568010051,38129751823
India,2024,4,586756452,40416377679
andaman-&-nicobar-islands,2018,1,6740,0
andaman-&-nicobar-islands,2018,2,9405,0
andaman-&-nicobar-islands,2018,3,12149,0
andaman-&-nicobar-islands,2018,4,15222,0
andaman-&-nicobar-islands,2019,1,18596,0
andaman-&-nicobar-islands,2019,2,21731,52640
andaman-&-nicobar-islands,2019,3,23931,171107
andaman-&-nicobar-islands,2019,4,25960,177012
andaman-&-nicobar-islands,2020,1,28368,193586
andaman-&-nicobar-islands,2020,2,32710,305072
andaman-&-nicobar-islands,2020,3,41335,515565
andaman-&-nicobar-islands,2020,4,52396,887208
andaman-&-nicobar-islands,2021,1,57758,1004336
andaman-&-nicobar-islands,2021,2,62095,2248223
andaman-&-nicobar-islands,2021,3,66982,3121625
andaman-&-nicobar-islands,2021,4,71780,2112910
andaman-&-nicobar-islands,2022,1,76288,3847407
andaman-&-nicobar-islands,2022,2,80530,5180013
andaman-&-nicobar-islands,2022,3,84642,6068354
andaman-&-nicobar-islands,2022,4,88442,4354093
andaman-&-nicobar-islands,2023,1,92484,11012664
andaman-&-nicobar-islands,2023,2,96329,14738676
andaman-&-nicobar-islands,2023,3,100255,20545079
andaman-&-nicobar-islands,2023,4,103978,9845960
andaman-&-nicobar-islands,2024,1,108411,28538751
andaman-&-nicobar-islands,2024,2,112687,16876883
andaman-&-nicobar-islands,2024,3,172473,19554846
andaman-&-nicobar-islands,2024,4,178788,18691683
andhra-pradesh,2018,1,3336450,0
andhra-pradesh,2018,2,4402540,0
andhra-pradesh,2018,3,5427617,0
andhra-pradesh,2018,4,6857409,0
andhra-pradesh,2019,1,8283019,0
andhra-pradesh,2019,2,9389003,81375251
andhra-pradesh,2019,3,10458693,310953542
andhra-pradesh,2019,4,11757883,411201518
andhra-pradesh,2020,1,13022060,486513773
andhra-pradesh,2020,2,14319675,494341698
andhra-pradesh,2020,3,15692405,696300382
andhra-pradesh,2020,4,17076565,869078538
andhra-pradesh,2021,1,18363733,957709447
andhra-pradesh,2021,2,19620905,1044705436
andhra-pradesh,2021,3,21059898,1258536879
