State,Category,Region,Year,Quarter,RegisteredUsers
India,states,maharashtra,2018,1,6106994
India,states,uttar pradesh,2018,1,4694250
India,states,karnataka,2018,1,3717763
India,states,andhra pradesh,2018,1,3336450
India,states,telangana,2018,1,3315560
India,states,rajasthan,2018,1,3158202
India,states,gujarat,2018,1,2690048
India,states,west bengal,2018,1,2604789
India,states,madhya pradesh,2018,1,2553603
India,states,bihar,2018,1,2133804
India,districts,bengaluru urban,2018,1,1922368
India,districts,pune,2018,1,1211643
India,districts,jaipur,2018,1,900773
India,districts,mumbai suburban,2018,1,719300
India,districts,hyderabad,2018,1,655175
India,districts,rangareddy,2018,1,635175
India,districts,thane,2018,1,631864
India,districts,ahmadabad,2018,1,572811
India,districts,medchal malkajgiri,2018,1,549429
India,districts,visakhapatnam,2018,1,497187
India,pincodes,201301,2018,1,114625
India,pincodes,500072,2018,1,105012
India,pincodes,560068,2018,1,98487
India,pincodes,110059,2018,1,95496
India,pincodes,110092,2018,1,83600
India,pincodes,122001,2018,1,82656
India,pincodes,560037,2018,1,75304
India,pincodes,395006,2018,1,72275
India,pincodes,800001,2018,1,71092
India,pincodes,302012,2018,1,68098
India,states,maharashtra,2018,2,8222371
India,states,uttar pradesh,2018,2,6442554
India,states,karnataka,2018,2,5030665
India,states,andhra pradesh,2018,2,4402540
India,states,telangana,2018,2,4260115
India,states,rajasthan,2018,2,4212964
India,states,west bengal,2018,2,3833795
India,states,gujarat,2018,2,3565825
India,states,madhya pradesh,2018,2,3441662
India,states,bihar,2018,2,3005872
India,districts,bengaluru urban,2018,2,2553312
India,districts,pune,2018,2,1592293
India,districts,jaipur,2018,2,1182983
India,districts,mumbai suburban,2018,2,957633
India,districts,thane,2018,2,861292
India,districts,hyderabad,2018,2,842483
India,districts,rangareddy,2018,2,804959
India,districts,ahmadabad,2018,2,751746
India,districts,medchal malkajgiri,2018,2,696211
India,districts,surat,2018,2,652372
India,pincodes,201301,2018,2,151073
India,pincodes,500072,2018,2,129543
India,pincodes,560068,2018,2,128921
India,pincodes,110059,2018,2,124901
India,pincodes,110092,2018,2,108175
India,pincodes,122001,2018,2,107275
India,pincodes,800001,2018,2,94711
India,pincodes,395006,2018,2,94500
India,pincodes,560037,2018,2,93771
India,pincodes,302012,2018,2,89071
India,states,maharashtra,2018,3,10435033
India,states,uttar pradesh,2018,3,8096483
India,states,karnataka,2018,3,6372649
India,states,andhra pradesh,2018,3,5427617
India,states,rajasthan,2018,3,5175453
India,states,telangana,2018,3,5138501
India,states,west bengal,2018,3,4851740
India,states,gujarat,2018,3,4433183
India,states,madhya pradesh,2018,3,4309309
India,states,tamil nadu,2018,3,3900177
India,districts,bengaluru urban,2018,3,3167597
India,districts,pune,2018,3,1974138
India,districts,jaipur,2018,3,1438305
India,districts,mumbai suburban,2018,3,1218632
India,districts,thane,2018,3,1104206
India,districts,hyderabad,2018,3,1024241
India,districts,rangareddy,2018,3,963186
India,districts,ahmadabad,2018,3,919252
India,districts,medchal malkajgiri,2018,3,828425
India,districts,surat,2018,3,808005
India,pincodes,201301,2018,3,188664
India,pincodes,110059,2018,3,156028
India,pincodes,500072,2018,3,152034
India,pincodes,560068,2018,3,151862
India,pincodes,110092,2018,3,136676
India,pincodes,122001,2018,3,130847
India,pincodes,395006,2018,3,113391
India,pincodes,302012,2018,3,107088
India,pincodes,560037,2018,3,106572
India,pincodes,800001,2018,3,106255
India,states,maharashtra,2018,4,13381602
India,states,uttar pradesh,2018,4,10341964
India,states,karnataka,2018,4,8315802
India,states,andhra pradesh,2018,4,6857409
India,states,telangana,2018,4,6529679
India,states,rajasthan,2018,4,6358738
India,states,west bengal,2018,4,6279278
India,states,gujarat,2018,4,5579040
India,states,madhya pradesh,2018,4,5365442
India,states,tamil nadu,2018,4,5199878
India,districts,bengaluru urban,2018,4,4126734
India,districts,pune,2018,4,2498852
India,districts,jaipur,2018,4,1733893
India,districts,mumbai suburban,2018,4,1578487
India,districts,thane,2018,4,1473811
India,districts,hyderabad,2018,4,1336872
India,districts,rangareddy,2018,4,1217664
India,districts,ahmadabad,2018,4,1212636
India,districts,medchal malkajgiri,2018,4,1056739
India,districts,surat,2018,4,998807
India,pincodes,201301,2018,4,250205
India,pincodes,110059,2018,4,206537
India,pincodes,560068,2018,4,201605
India,pincodes,110092,2018,4,177133
India,pincodes,500072,2018,4,175163
India,pincodes,122001,2018,4,163556
India,pincodes,560037,2018,4,137280
India,pincodes,800001,2018,4,134254
India,pincodes,110086,2018,4,133412
India,pincodes,110085,2018,4,132600
India,states,maharashtra,2019,1,16284451
India,states,uttar pradesh,2019,1,12458661
India,states,karnataka,2019,1,10266174
India,states,andhra pradesh,2019,1,8283019
India,states,telangana,2019,1,7963425
India,states,rajasthan,2019,1,7712204
India,states,west bengal,2019,1,7449425
India,states,gujarat,2019,1,6652536
India,states,madhya pradesh,2019,1,6414403
India,states,tamil nadu,2019,1,6296303
India,districts,bengaluru urban,2019,1,5003207
India,districts,pune,2019,1,3038402
India,districts,jaipur,2019,1,2060175
India,districts,mumbai suburban,2019,1,1901210
India,districts,thane,2019,1,1834051
India,districts,hyderabad,2019,1,1638436
India,districts,rangareddy,2019,1,1470874
India,districts,ahmadabad,2019,1,1450100
India,districts,medchal malkajgiri,2019,1,1279531
India,districts,surat,2019,1,1180819
India,pincodes,201301,2019,1,301260
India,pincodes,110059,2019,1,246566
India,pincodes,560068,2019,1,237280
India,pincodes,500072,2019,1,221180
India,pincodes,110092,2019,1,206805
India,pincodes,122001,2019,1,194366
India,pincodes,110086,2019,1,158267
India,pincodes,560078,2019,1,157977
India,pincodes,395006,2019,1,157558
India,pincodes,560076,2019,1,157367
India,states,maharashtra,2019,2,18776975
India,states,uttar pradesh,2019,2,14316349
India,states,karnataka,2019,2,11968087
India,states,andhra pradesh,2019,2,9389003
India,states,telangana,2019,2,9046007
India,states,rajasthan,2019,2,8783935
India,states,west bengal,2019,2,8612795
India,states,gujarat,2019,2,7574645
India,states,tamil nadu,2019,2,7429609
India,states,madhya pradesh,2019,2,7301172
India,districts,bengaluru urban,2019,2,5694165
India,districts,pune,2019,2,3514081
India,districts,jaipur,2019,2,2290462
India,districts,mumbai suburban,2019,2,2151657
India,districts,thane,2019,2,2118406
India,districts,hyderabad,2019,2,1856926
India,districts,ahmadabad,2019,2,1656341
India,districts,rangareddy,2019,2,1651300
India,districts,medchal malkajgiri,2019,2,1428880
India,districts,surat,2019,2,1338584
India,pincodes,201301,2019,2,336709
India,pincodes,110059,2019,2,274593
India,pincodes,560068,2019,2,263531
India,pincodes,500072,2019,2,242007
India,pincodes,110092,2019,2,228546
India,pincodes,122001,2019,2,217913
India,pincodes,421302,2019,2,182371
India,pincodes,395006,2019,2,180042
India,pincodes,560078,2019,2,178837
India,pincodes,110086,2019,2,177199
India,states,maharashtra,2019,3,21313081
India,states,uttar pradesh,2019,3,16044607
India,states,karnataka,2019,3,13635075
India,states,andhra pradesh,2019,3,10458693
India,states,telangana,2019,3,10090557
India,states,rajasthan,2019,3,9797304
India,states,west bengal,2019,3,9643222
India,states,gujarat,2019,3,8429299
India,states,tamil nadu,2019,3,8428835
India,states,madhya pradesh,2019,3,8180664
India,districts,bengaluru urban,2019,3,6383771
India,districts,pune,2019,3,4004991
India,districts,jaipur,2019,3,2520933
India,districts,mumbai suburban,2019,3,2407754
India,districts,thane,2019,3,2396815
India,districts,hyderabad,2019,3,2071673
India,districts,ahmadabad,2019,3,1848860
India,districts,rangareddy,2019,3,1826019
India,districts,medchal malkajgiri,2019,3,1572320
India,districts,surat,2019,3,1481391
India,pincodes,201301,2019,3,369425
India,pincodes,110059,2019,3,300007
India,pincodes,560068,2019,3,289417
India,pincodes,500072,2019,3,261019
India,pincodes,110092,2019,3,248727
India,pincodes,122001,2019,3,239679
India,pincodes,421302,2019,3,208109
India,pincodes,395006,2019,3,198132
India,pincodes,110086,2019,3,194575
India,pincodes,800001,2019,3,194197
India,states,maharashtra,2019,4,23745297
India,states,uttar pradesh,2019,4,17949542
India,states,karnataka,2019,4,15385416
India,states,andhra pradesh,2019,4,11757883
India,states,telangana,2019,4,11220691
India,states,rajasthan,2019,4,10925031
India,states,west bengal,2019,4,10885058
India,states,tamil nadu,2019,4,9620493
India,states,gujarat,2019,4,9323799
India,states,madhya pradesh,2019,4,9165241
India,districts,bengaluru urban,2019,4,7016836
India,districts,pune,2019,4,4416899
India,districts,jaipur,2019,4,2746860
India,districts,thane,2019,4,2638051
India,districts,mumbai suburban,2019,4,2630360
India,districts,hyderabad,2019,4,2283903
India,districts,ahmadabad,2019,4,2015947
India,districts,rangareddy,2019,4,2001437
India,districts,medchal malkajgiri,2019,4,1714832
India,districts,north twenty four parganas,2019,4,1638605
India,pincodes,201301,2019,4,398548
India,pincodes,110059,2019,4,320535
India,pincodes,560068,2019,4,313673
India,pincodes,500072,2019,4,279498
India,pincodes,110092,2019,4,264380
India,pincodes,122001,2019,4,258880
India,pincodes,421302,2019,4,243170
India,pincodes,560078,2019,4,218317
India,pincodes,395006,2019,4,214322
India,pincodes,560076,2019,4,211683
India,states,maharashtra,2020,1,26168390
India,states,uttar pradesh,2020,1,20136256
India,states,karnataka,2020,1,17016980
India,states,andhra pradesh,2020,1,13022060
India,states,telangana,2020,1,12306860
India,states,rajasthan,2020,1,12142053
India,states,west bengal,2020,1,11960822
India,states,tamil nadu,2020,1,10872368
India,states,gujarat,2020,1,10259843
India,states,madhya pradesh,2020,1,10151371
India,districts,bengaluru urban,2020,1,7564577
India,districts,pune,2020,1,4802397
India,districts,jaipur,2020,1,2966508
India,districts,thane,2020,1,2878073
India,districts,mumbai suburban,2020,1,2843378
India,districts,hyderabad,2020,1,2483843
India,districts,ahmadabad,2020,1,2185983
India,districts,rangareddy,2020,1,2166829
India,districts,medchal malkajgiri,2020,1,1845599
India,districts,north twenty four parganas,2020,1,1789973
India,pincodes,201301,2020,1,425915
India,pincodes,110059,2020,1,342152
India,pincodes,560068,2020,1,334481
India,pincodes,500072,2020,1,296003
India,pincodes,110092,2020,1,280039
India,pincodes,122001,2020,1,277400
India,pincodes,421302,2020,1,270275
India,pincodes,560078,2020,1,234102
India,pincodes,395006,2020,1,230047
India,pincodes,110086,2020,1,226703
India,states,maharashtra,2020,2,28765086
India,states,uttar pradesh,2020,2,22498519
India,states,karnataka,2020,2,18655366
India,states,andhra pradesh,2020,2,14319675
India,states,rajasthan,2020,2,13563201
India,states,telangana,2020,2,13378191
India,states,west bengal,2020,2,13222022
India,states,tamil nadu,2020,2,12150786
India,states,gujarat,2020,2,11392657
India,states,madhya pradesh,2020,2,11374423
India,districts,bengaluru urban,2020,2,8028070
India,districts,pune,2020,2,5144688
India,districts,jaipur,2020,2,3182014
India,districts,thane,2020,2,3135101
India,districts,mumbai suburban,2020,2,3060916
India,districts,hyderabad,2020,2,2653534
India,districts,ahmadabad,2020,2,2384154
India,districts,rangareddy,2020,2,2313748
India,districts,north twenty four parganas,2020,2,1966125
India,districts,medchal malkajgiri,2020,2,1963353
India,pincodes,201301,2020,2,445271
India,pincodes,110059,2020,2,365614
India,pincodes,560068,2020,2,351484
India,pincodes,500072,2020,2,309469
India,pincodes,421302,2020,2,298762
India,pincodes,110092,2020,2,295000
India,pincodes,122001,2020,2,293479
India,pincodes,560078,2020,2,247869
India,pincodes,110086,2020,2,246312
India,pincodes,395006,2020,2,245129
India,states,maharashtra,2020,3,31409513
India,states,uttar pradesh,2020,3,24838116
India,states,karnataka,2020,3,20487550
India,states,andhra pradesh,2020,3,15692405
India,states,rajasthan,2020,3,14969412
India,states,telangana,2020,3,14590882
India,states,west bengal,2020,3,14448366
India,states,tamil nadu,2020,3,13643451
India,states,madhya pradesh,2020,3,12564224
India,states,gujarat,2020,3,12467847
India,districts,bengaluru urban,2020,3,8611452
India,districts,pune,2020,3,5546002
India,districts,jaipur,2020,3,3433167
India,districts,thane,2020,3,3401853
India,districts,mumbai suburban,2020,3,3304696
India,districts,hyderabad,2020,3,2875965
India,districts,ahmadabad,2020,3,2580178
India,districts,rangareddy,2020,3,2495699
India,districts,north twenty four parganas,2020,3,2143943
India,districts,medchal malkajgiri,2020,3,2111567
India,pincodes,201301,2020,3,472490
India,pincodes,110059,2020,3,393571
India,pincodes,560068,2020,3,373446
India,pincodes,421302,2020,3,328833
India,pincodes,500072,2020,3,328018
India,pincodes,110092,2020,3,314384
India,pincodes,122001,2020,3,314031
India,pincodes,110086,2020,3,267186
